ID,Group,Original,Modified,ExplanationsLV,ExplanationsEn,Notes
P006J,coherence.modality,"Daina, izmantojot visus ciparus, burtnīcā ierakstīja desmitciparu skaitli. Vai šis skaitlis *noteikti dalās* (1) ar 3?","Daina, izmantojot visus ciparus, burtnīcā ierakstīja desmitciparu skaitli. Vai šim skaitlim noteikti jādalās ar 3?","(1) ""noteikti jādalās"" ir iederīgāks, jo vēl nezinām, vai un kāds šis skaitlis ir.","(1) ""noteikti jādalās"" Is preferable to ""noteikti dalās"" (as ""dalās"" would imply that there is one specific number).",
P006K,coherence,"Vai var atrast tādus četrus dažādus naturālus skaitļus a,b,c,d, *ka* (1) 1a+1b+1c+d1=1?","Vai var atrast tādus četrus dažādus naturālus skaitļus a,b,c,d, lai 1a+1b+1c+d1=1?",(1) Saiklis “lai” ir iederīgāks; norāda uz nolūku.,"(1) Replace ""ka"" by ""lai"" to express intention.",
P006L,coherence.modality,"Klasē ir 40 skolēnu. Vai *noteikti ir* (1) tāds mēnesis, kurā savu dzimšanas dienu atzīmē vismaz četri šīs klases skolēni?","Klasē ir 40 skolēnu. Vai noteikti jābūt tādam mēnesim, kurā savu dzimšanas dienu atzīmē vismaz četri šīs klases skolēni?","(1) ""noteikti jābūt"" lietot ir labāk, jo par daudziem skaitļiem vienlaikus apgalvojot, nezinām, kādi tie ir.1","(1) ""noteikti jābūt"" is better here compared to ""noteikti ir"" as it is about the necessity (not about already existing numbers).",
P006M,coherence,"Ar vienu *„gājienu”* (1) var izvēlēties jebkurus divus no tiem un abiem pieskaitīt vieninieku. Vai, atkārtojot *šādus* (2) „gājienus”, var panākt, *lai* (3) visi skaitļi kļūtu vienādi?","Uz tāfeles uzrakstīti skaitļi 0; 1; 0; 0. Ar vienu gājienu var izvēlēties jebkurus divus no tiem un abiem pieskaitīt vieninieku. Vai, atkārtojot gājienus, var panākt, ka visi skaitļi kļūst vienādi?","(1) Nav vajadzīgs izmanotot pēdiņas, jo gājienam ir arī darbības nozīme 
(2) Valodas koncentrētība 
(3) Izteicēja palīgteikumā iederīgāks saiklis ir “ka” ","(1) Gājiens should not be quoted, as it expresses action. 
(2) For brevity avoid redundant pronoun ""šādus""
(3) ""... panākt, ka"" is more appropriate compared to ""... panākt, lai""",
P024A,variety.TaKaTad,"*Tā kā* (1) secība atkārtojas ik pēc 6 kauliņiem un 605=6⋅100+5, *tad* (1) uz 605. kauliņa būs redzami tikpat punktiņi, cik uz 5. kauliņa, tas ir, 5.","Secība atkārtojas ik pēc 6 kauliņiem, un 6⋅100+5=605, tāpēc uz 605. kauliņa būs redzams tikpat punktiņu, cik uz 5. kauliņa, tas ir, 5.","(1) ""Tā kā ... tad ..."" is better to replace by ""..., tāpēc ..."" if the first part implies the second part.","(1) For variety replace construct ""tā kā ... tad ..."" by ""... tāpēc ..."" if the first part of the sentence logically implies the second part.",
P024B,variety.TaKaTad,"*Tā kā* (1) katrs nākamais virknes loceklis ir atkarīgs tikai no viena iepriekšējā, *tad* (1), līdzko parādās kāds šajā virknē jau iepriekš bijis skaitlis, izveidojas periods.","Katrs nākamais virknes loceklis ir atkarīgs tikai no viena iepriekšējā, tāpēc parādoties kādam jau bijušam skaitlim, izveidojas periods.","(1) ""Tā kā ... tad ..."" is better to replace by ""..., tāpēc ..."" if the first part implies the second part.","(1) For variety replace construct ""tā kā ... tad ..."" by ""... tāpēc ..."" if the first part of the sentence logically implies the second part.",
P024C,variety.TaKaTad,"*Tā kā* (1) 2018 ir pāra skaitlis, *tad* (1) šajā vietā virknē ir skaitlis 13.","2018 ir pāra skaitlis, tāpēc šajā vietā virknē ir skaitlis 13.","(1) ""Tā kā ... tad ..."" is better to replace by ""..., tāpēc ..."" if the first part implies the second part.","(1) For variety replace construct ""tā kā ... tad ..."" by ""... tāpēc ..."" if the first part of the sentence logically implies the second part.",
P024D,variety.TaKaTad,"*Tā kā* (1) katrs nākamais virknes loceklis ir atkarīgs tikai no viena iepriekšējā, *tad* (1), līdzko parādās kāds šajā virknē jau iepriekš bijis skaitlis, izveidojas periods.","Katrs nākamais virknes loceklis ir atkarīgs tikai no viena iepriekšējā, tāpēc parādoties kādam jau bijušam skaitlim, izveidojas periods.","(1) ""Tā kā ... tad ..."" is better to replace by ""..., tāpēc ..."" if the first part implies the second part.","(1) For variety replace construct ""tā kā ... tad ..."" by ""... tāpēc ..."" if the first part of the sentence logically implies the second part.",
P049A,variety,"Vai *eksistē tādi* (1) divi dažādi trīsciparu naturāli skaitļi A un B, *ka* (2) ...","Vai iespējams atrast divus dažādus trīsciparu naturālus skaitļus A un B, lai ...","(1) Reizēm ""eksistē"" aizstāj ar ""iespējams atrast""
(2) Saiklis “lai” ir iederīgāks; norāda uz nolūku.","(1) Replace ""vai eksistē"" by ""iespējams atrast"" for variety and informal language.
(2) Replace ""ka"" by ""lai"" to express intention.",(1) atkarīgs no konteksta (nodaļas nosaukuma)?
P049B,brevity,"Dagnis no 10 klasesbiedriem ir saņēmis 54 jaunas *īsziņas*, no katra klases biedra vismaz vienu *īsziņu* (1).","Dagnis no 10 klasesbiedriem ir saņēmis 54 jaunas īsziņas, no katra klases biedra vismaz vienu.",(1) valodas koncentrētība,"(1) Use ellipse for ""īsziņas"" (or a similar repetitive noun) if it is clear from the context.",
P049C,coherence,"Vai, izdarot vairākus šādus gājienus, var panākt, *lai* (1) uz tāfeles vienlaicīgi *būtu* (1) uzrakstīti skaitļi 43 ; 45 ; 52 ?","Vai, veicot vairākus gājienus, var panākt, ka uz tāfeles vienlaicīgi uzrakstīti skaitļi 43 ; 45 ; 52?","(1) papildinātāja palīgteikums ar ""ka""; ""būtu"" vairs nav vajadzīgs, jo nav nolūka palīgteikuma ar ""lai""","(1) Start an adjective clause by ""ka"". Once there is no conjunction ""lai"", no need for ""būtu"". ",
P049D,brevity,"Vai noteikti šajā rindā *var atrast tādu* (1) skaitli, kam kaimiņš pa kreisi ir mazāks nekā tā kaimiņš pa labi?","Vai noteikti šajā rindā būs skaitlis, kura “kaimiņš” pa kreisi ir mazāks nekā tā “kaimiņš” pa labi?","(1) Ja risinātājam pašam nav nekas jāatrod, tad ""vai var atrast"" vietā labāk lietot ""vai būs"", ""vai eksistē"".","(1) Unless we ask the problem solver to find something, replace ""var atrast"" by ""būs"" or ""eksistē"". ",
P050A,variety.TaKaTad,"*Tā kā* (1) 18+y+y ir jādalās ar 9, *tad* (1) derīgās vērtības ir 27 un 36.","18+y+y ir jādalās ar 9, tāpēc derīgās vērtības ir 27 un 36.","(1) ""Tā kā ... tad ..."" reizēm jāaizstāj ar ""..., tāpēc ..."", ja no pirmās teikuma daļas loģiski seko otrā.","(1) For variety replace construct ""tā kā ... tad ..."" by ""... tāpēc ..."" if the first part of the sentence logically implies the second part.",
P050B,variety.TaKaTad,"*Tā kā* (1) 33+y+y ir jādalās ar 9, *tad* (1) derīgās vērtības ir 36 un 45.","33+y+y ir jādalās ar 9, tāpēc derīgās vērtības ir 36 un 45.","(1) ""Tā kā ... tad ..."" reizēm jāaizstāj ar ""..., tāpēc ..."", ja no pirmās teikuma daļas loģiski seko otrā.","(1) For variety replace construct ""tā kā ... tad ..."" by ""... tāpēc ..."" if the first part of the sentence logically implies the second part.",
P050C,variety.rep,"Summu 36 nevar *iegūt* (1), jo, saskaitot divus vienādus ciparus, nevar *iegūt* 3.","Nevar izveidot summu 36, jo, saskaitot divus vienādus ciparus, nevar iegūt 3. ","(1) Aizstāj ""iegūt summu"" ar ""izveidot summu"", lai neatkārtotos vārds.","(1) Replace by a synonym (in our case ""iegūt"" by ""izveidot""), if the same word repeats in a single sentence.",
P050D,clarity,"**Tabulas 3×3** (1) rūtiņās katrā rūtiņā jāieraksta pa vienam naturālam skaitlim tā, lai katrā rindā, *katrā* (2) kolonnā un *katrā* (2) diagonālē ierakstīto skaitļu summas būtu vienādas.","Tabulā ar izmēriem 3×3 rūtiņas katrā jāieraksta pa naturālam skaitlim tā, lai katrā rindā, kolonnā un diagonālē ierakstīto skaitļu summas būtu vienādas.","(1) Aizstāt ""tabulas 3x3"" ar ""tabulu ar izmēriem 3x3"".
(2) Vārds ""katrā"" attiecas uz katru vārdu ""rinda"", ""kolonna"", ""diagonāle"".","(1) Avoid ""Tabula 3x3"", if the dimensions of table is meant. Rather write ""tabula ar izmēriem 3x3"".
(2) Avoid repeating word ""katrs"", ""katrā""; one such word will apply to every item in the list. ",
