L1,L2,L3,Label,TitleLv,TitleEn,DescriptionLv,DescriptionEn,TypicalTopics,Notes
1,4,3,DOM_ProvingInequalities,Nevienādību pierādīšana,Proving Inequalities,"Uzdevumi, kuros jāpierāda, ka ir pareiza kāda nevienādība visā mainīgo definīcijas apgabalā",Problems to prove that an inequality holds on the whole domain of the variables.,ProvingInequalitiesWithOtherInequalities; InequalitiesEquivalentTransformations,
1,5,0,DOM_Extremes,Ekstrēmu uzdevumi,Extremes in Algebra,"Algebras uzdevumi, kuros jāatrod lielākā vai mazākā iespējamā vērtība.",Algebra problems to find the largest or the smallest possible value.,AlgebraProblemsWithExtremes,
1,6,0,DOM_RealSequences,Skaitļu virknes un summas,Sequences and Sums,Aritmētiskā progresija. Ģeometriskā progresija. Rekurentas skaitļu virknes. Galīgas un bezgalīgas summas.,Arithmetic series. Geometric series. Recurrent sequences. Finite and infinite sums.,NumericSequences,
1,6,1,DOM_ArithmeticSeries,Aritmētiskas progresijas,Arithmetic Progressions,"Uzdevumi, kuru formulējumā ir aritmētiskas progresijas — to locekļi, summas un īpašības.","Problems whose statement involves arithmetic progressions — their terms, sums and properties.",ArithmeticAndGeometricSeries; SeriesArithmeticSum,
1,6,2,DOM_GeometricSeries,Ģeometriskas progresijas,Geometric Progressions,"Uzdevumi, kuru formulējumā ir ģeometriskas progresijas — to locekļi, summas (arī bezgalīgas) un īpašības.","Problems whose statement involves geometric progressions — their terms, sums (incl. infinite) and properties.",ArithmeticAndGeometricSeries; SeriesGeometricFinite; SeriesGeometricInfinite,
1,6,3,DOM_SequenceProperties,Virkņu īpašību pamatošana,Sequence Properties,"Virknei, kas definēta rekursīvi vai citādi neizmantojot atklātas algebriskas izteiksmes, pamatot tās locekļu īpašības.","For a sequence defined recursively or otherwise without an explicit algebraic formula, prove properties of its terms.",RecurrentSequences; SequencePeriodicity; Monotonicity,
1,7,0,DOM_Polynomials,Polinomi,Polynomials,"Uzdevumi, kuru formulējumā figurē polinomi ar reāliem (vai kompleksiem) koeficientiem — to saknes, koeficienti, vērtības, dalāmība. (Polinomus ar veseliem koeficientiem sk. DOM_IntegerPolynomials.)","Problems whose statement features polynomials with real (or complex) coefficients — their roots, coefficients, values, divisibility. (For integer-coefficient polynomials see DOM_IntegerPolynomials.)",FundamentalTheoremAlgebra; VietaFormulas; EquationAnalysis,Jauna rinda (2026).
1,8,0,DOM_RealFunctions,Funkciju īpašības un analīze,Real Functions,"Nepārtrauktas funkcijas, reālās analīzes metodes, robežas, atvasinājumi, integrāļi","Continuous functions, methods of real analysis, derivatives, integrals.",RealAnalysis; StudyingContinuousFunctions,
1,9,0,DOM_Trigonometry,Trigonometrija,Trigonometry,"Uzdevumi, kuru formulējumā ir trigonometriskas izteiksmes, identitātes, vienādojumi vai funkcijas (bez ģeometriskas konfigurācijas; trigonometriju kā metrisko sakarību rīku ģeometrijā sk. DOM_MetricRelations).","Problems whose statement contains trigonometric expressions, identities, equations or functions (with no geometric configuration; for trigonometry as a metric tool in geometry see DOM_MetricRelations).",Trigonometry,Jauna rinda (2026).
1,10,0,DOM_FunctionalEquationsReal,Funkcionālvienādojumi reālos skaitļos,Functional Equations in Real Numbers,"Funkcionālvienādojumi, kuru atrisinājumi ir viena argumenta funkcijas vai vairākvietīgas operācijas reālos skaitļos.","Functional equations, single-argument functions and multi-argument operators as unknowns.",FunctionalEquationsForRealFunctions; MultiargumentOperationsAsAxioms,
2,0,0,Comb,Kombinatorika,Combinatorics,Visi kombinatorikas uzdevumi.,All combinatorics problems,Combinatorics,
2,1,0,DOM_CountingObjects,Objektu skaitīšana,Counting Objects,"Noskaidrot, cik veidos var izvēlēties pārstāvjus, cik veidos var izdarīt kādas specifiskas darbības. Noteikt, cik veidos var sakārtot kādas kopas vai apakškopas elementus.",Count how many ways to pick objects or to do certain actions. Count the ways to order elements or pick subsets.,CountingObjects,
2,1,1,DOM_CountingStrings,Simbolu virkņu skaitīšana,Counting Strings,"Burtu virknīšu saimei (kas definēta rekursīvi vai ar citiem likumiem) saskaitīt, cik virknīšu ir noteiktā garumā.","For a family of strings (defined recursively or by other rules), count how many strings there are of a given length.",CountingFromEncoding; MethodOfRecurrentRelations,
2,1,2,DOM_NumberPartitionsCompositions,Skaitļu sadalījumi,Number Partitions and Compositions,Skaitļu summēšanas veidu skaitīšana neievērojot secību (partitions) vai ievērojot secību (compositions),Counting the ways how some number can be expressed as a sum of certain other numbers -- the order in the sum may or may not matter.,StandardCombinatorialNumbers; MethodOfRecurrentRelations,
2,2,0,DOM_Graphs,Grafu uzdevumi,Problems with Graphs,"Uzdevumi, kuros ir dots skaits objektu, starp katriem diviem no tiem var būt vai nebūt attiecība. Uzdevumi par draudzībām, pazīšanos, ceļiem starp pilsētām, saziņu ar vēstulēm vai pa telefonu.","Problems with finitely many objects that may or may not be in a relationship. Problems about friendships, being acquainted, roads between cities, communication with letters, etc.",GraphProblems,
2,3,0,DOM_CombinatorialGames,Kombinatoriskas spēles,Combinatorial Games,"Dots, ka divi spēlētāji spēlē spēli, pārmaiņus izdarot. Jāizstrādā uzvarošā stratēģija kādam no spēlētājiem vai jānoskaidro, kurš no spēlētājiem uzvar, pareizi spēlējot. Šajā kategorijā neietilpst skaitļu teorijas spēles, kur gājieni ir veselu skaitļu vai to ciparu manipulācijas.","Most combinatorial games (two players, alternate moves, full information). Such games need to be analyzed by finding the winning strategy or proving that certain player can win. This category does not contain number theory games.",Games,
2,4,0,DOM_CombinatorialAlgorithms,Kombinatoriskie algoritmi,Combinatorial Algorithms,"Uzdevumi par elementu sakārtošanu vai lielākā vai mazākā atrašanu. Uzdevumi, kuros ir procesi, kuru realizācijai jāizstrādā algoritms vai jānovērtē algoritma efektivitāte. Uzdevumi par svēršanu, turnīra uzvarētāja atrašanu.","Problems on ordering elements, finding the smallest or the largest element. Processes that require an algorithm or should evaluate the effectiveness of an algorithm. Problems on sorting and finding winners at tournaments.",CombinatorialAlgorithms,
2,4,1,DOM_MakingMoves,Procedūras ar soļiem,Procedures with Moves,"Uzdevuma formulējumā aprakstītas algoritmiskas procedūras vai arī atļautie gājieni, kurus var dažādi savirknēt.",The statement describes algorithmic procedures or permitted moves that can be chained in various ways.,CombinatorialAlgorithms; AlgorithmLooping,
2,4,2,DOM_Weighings,Svēršanas uzdevumi,Weighing Problems,"Uzdevumi, kuru formulējumā ir svari (ar atsvariem vai bez) un jāatrod viltota monēta, jāsakārto vai jāsalīdzina objekti ar noteiktu svēršanu skaitu.","Problems whose statement involves scales (with or without weights): finding a counterfeit coin, ordering or comparing objects within a given number of weighings.",SearchProblems; RangingTournaments,Jauna rinda (2026).
2,5,0,DOM_CombinatorialStructures,Kombinatoriskās struktūras,Combinatorial Structures,Izvietojumi uz šaha galdiņa. Apakškopu sistēmas. Apakšvirkņu sistēmas. Paskāla trijstūris. Turnīri. Regulāri režģi. Latīņu kvadrāti,Systems of subsets. Systems of subsequences. Pieces on a chess board and similar layouts. Pascal triangle. Tournaments. Lattices. Magic arrangements of numbers. Latin squares.,SystemsAndStructures,
2,5,1,DOM_CombinatorialCounterexamples,Pretpiemēru veidošana kombinatorikā,Combinatorial Counterexamples,"Uzdevumi, kuros jākonstruē kombinatorisks piemērs vai pretpiemērs ar dotajām īpašībām.",Problems asking to construct a combinatorial example or counterexample with given properties.,SystemsOfSubsets; SystemsAndStructures,https://problems.ru/view_by_subject_new.php?parent=590
2,5,2,DOM_MagicConfigurations,Tabulu aizpildīšana un maģiskas konfigurācijas,Table Filling and Magic Configurations,"Rūtiņu kvadrātu, tabulu vai citu režģu aizpildīšana ar skaitļiem vai simboliem, ievērojot īpašus noteikumus (vienādas summas, aizliegtas kombinācijas u.tml.).","Filling square grids, tables or other lattices with numbers or symbols subject to special rules (equal sums, forbidden combinations, etc.).",IntegerExpressionsAndOperations; LatinSquares,
2,5,3,DOM_ExpressionBuilding,Izteiksmju veidošana,Building Expressions,"Aritmētisko darbību zīmju vai iekavu izvietošana tā, lai iegūtu vēlamo izteiksmes vērtību vai citu īpašību.",Placing arithmetic operation signs or parentheses to obtain a desired value or property of an expression.,IntegerExpressionsAndOperations,
2,5,4,DOM_Tournaments,Turnīri un to rezultātu tabulas,Tournaments and Score Tables,"Uzdevumi, kuru formulējumā ir sporta vai cits turnīrs — spēļu iznākumi, punktu tabulas, uzvaru virknes; jāsecina par iespējamiem vai neiespējamiem rezultātiem.","Problems whose statement describes a sports or other tournament — game outcomes, score tables, win sequences; one must reason about possible or impossible results.",MathObjectsAsGraphs; DirectedGraphs,Jauna rinda (2026).
2,6,0,DOM_Logic,Loģiska rakstura uzdevumi,Logic,"Uzdevumi par patiesiem un aplamiem izteikumiem, patiesības teikšanu un melošanu. Uzdevumi ar apslēptu informāciju. Paradoksi.","Problems on true and false statements, on telling the truth and lying. Problems with hidden information. Paradoxes.",LogicProblems,
2,7,0,DOM_DiscreteProbability,Diskrētās varbūtības,Discrete Probability,"Atrast varbūtības izmantojot klasisko varbūtības definīciju. Aprēķināt notikumu varbūtības, izmantojot reizināšanas likumu un citus kombinatorikas paņēmienus. Nosacītas varbūtības un spriedumi par operācijām ar diskrētiem gadījumlielumiem (kuri var pieņemt sanumurējami daudz vērtību).",Finding probabilities in classical probability model. Applying product rule and other combinatorial methods. Conditional probabilities and reasoning with operations with discrete random variables. Probabilistic games.,DiscreteProbability,
3,0,0,Geom,Ģeometrija,Geometry,Visi ģeometrijas uzdevumi.,All geometry problems.,Geometry,
3,1,0,DOM_Constructions,Ģeometriskas konstrukcijas,Geometric constructions,"Uzdevumi, kuros doti specifiski trijstūra elementi un, izmantojot cirkuli un lineālu, jākonstruē trijstūri. Uzdevumi, kuros doti konkrēti punkti un/ vai nogriežņi, taisnes, leņķi vai riņķa līnijas un nepieciešams konstruēt trijstūri, četrstūri, leņķi, taisni, staru vai riņķa līniju, izmantojot cirkuli un lineālu. Iespējami arī uzdevumi, kuros ļauts izmantot tikai lineālu, divpusēju lineālu vai uzstūri (taisnleņķa lineālu). Citi konstrukcijas uzdevumi.","Problems where some elements of a triangle are given and triangles must be constructed with a compass and a ruler. Tasks where specific points, segments, straight lines, angles and/or circles are given and one has to construct a triangle, a quadrilateral, angles, straight lines, rays or circles using a compass and a ruler. Problems that only allow the use of a ruler, a double-sided ruler, or a right-angle ruler. Other construction tasks.",PlaneConstructions,Prosolova grāmatas 8. nodaļa
3,1,1,DOM_ConstructedNumbers,Skaitļu ģeometriska konstruēšana,Geometric Construction of Numbers,"Skaitļu konstruēšana un uzkonstruējamo skaitļu īpašības; Apollonija riņķu rādiusi; trijstūru līdzība, piereizinot ar racionāliem skaitļiem vai atrodot kvadrātsaknes.",Constructing numbers geometrically and properties of constructible numbers; radii of Apollonius circles; similar triangles scaled by rationals or square roots.,PlaneConstructions; CirclesOfApollonius; SimilarTriangles,
3,2,0,DOM_AnglesParallelsSimilarity,"Leņķi, paralēlas taisnes un figūru līdzība","Angles, parallels, and similar shapes","Uzdevumi, kuros jāpierāda, ka kādas taisnes vai nogriežņi ir paralēli vai perpendikulāri. Uzdevumi, kuros dota vai jāpierāda nogriežņu garumu attiecība vai leņķu vienādība. Uzdevumi par līdzīgiem trijstūriem vai līdzīgiem daudzstūriem un to malu garumu vai laukumu attiecībām.",Problems proving that some lines or segments are parallel or perpendicular. Exercises in which the ratio of lengths of segments or the equality of angles are given or proved. Exercises about similar triangles or similar polygons and the ratio of their side lengths or areas.,AngleProperties; TriangleSimilarity,1. nodaļa
3,3,0,DOM_CirclesAndRelatedAngles,Riņķa līnija un ar to saistīti leņķi,Circle and related angles,"Uzdevumi par riņķa līnijām un to hordām, pieskarēm, ievilktiem leņķiem.Punkti uz riņķa līnijas. Riņķa līnijā ievilkts trijstūris, četrstūris, daudzstūris. Leņķis riņķa līnijā. Ievilkta riņķa līnija. Apvilkta riņķa līnija.","Problems about circles and chords, tangents, inscribed angles. Points on the circle. A triangle, quadrilateral, polygon inscribed in a circle. Angle in a circle. Inscribed circle. Circumscribed circle.",Circle,2. un 3. nodaļas
3,4,0,DOM_Triangles,Trijstūri,Triangle,"Uzdevumos dots trijstūris un ar to saistīti punkti vai taisnes, vai riņķa līnijas. Trijstūris un tā ievilktā un apvilktā riņķa līnija. Taisnleņķa trijstūri. Vienādmalu trijstūris.  Vienādsānu trijstūri. Trijstūri ar leņķiem $60^{\circ}$ vai $120^{\circ}$.Trijstūri, kuru malu garumi ir veseli skaitļi.  Ar trijstūri saistītas līnijas un ģeometriskas sakarības.  Menelaja teorēma. Čevas teorēma. Simsona taisne. Pēdas punktu trijstūris. Eilera taisne un deviņu punktu riņķa līnija. Brokāra punkti . Lemuāna punkts.",Problems where a triangle is given along with related points or lines or circles. A triangle and its inscribed and circumscribed circles. Right triangle. Equilateral triangle. Isosceles triangle. Triangles with angles $60^{\circ}$ or $120^{\circ}$. Triangles with integer sides. Lines and geometric identities about triangles.   Menelaus' theorem. Cheva's theorem. Simson's line. Pedal triangle. Euler line and nine point circle. Brocard points. Lemoine point.,Triangle,5. nodaļa
3,5,0,DOM_Quadrilaterals,Četrstūri,Quadrilateral,Kvadrāts. Taisnstūris. Rombs. Trapece. Ievilkti četrstūri. Apvilkti četrstūri. Ptolemaja teorēma.,Square. Rectangle. Rhombus. Trapezoid. Cyclic quadrilateral. Tangential quadrilateral. Ptolemy's theorem.,Quadrilaterals,Daļa no 6. nodaļas.
3,6,0,DOM_Polygons,Daudzstūri,Polygon,Piecstūri. Sešstūri. Regulāri daudzstūri. Ievilkti un apvilkti daudzstūri. Patvaļīgi izliekti daudzstūri. Paskāla teorēma. Helli teorēma. Ieliekti daudzstūri. Izoperimetriskā nevienādība.,Pentagons. Hexagons. Regular polygons. Inscribed and circumscribed polygons. Arbitrary convex polygons. Pascal's theorem about conics. Helly's theorem. Concave polygons. Isoperimetric inequality.,Polygons,Daļa no 6. nodaļas. Daļa no 22. nodaļas.
3,7,0,DOM_Area,Laukumi,Area,"Laukumu aprēķināšana. Četrstūra laukuma formulas. Laukumi trijstūriem vai citām figūrām, kurās ir sadalīts daudzstūris. Vienlielas figūras. Mediāna sadala trijstūri vienādu laukumu trijstūros. Taisnes un līknes, kas sadala figūras vienlielās daļās. Laukumu pārgrupēšana.",Calculating area. Formulas for a quadrilateral area. Areas of triangles or other shapes that a polygon can be subdivided. Shapes with the same area. The median divides the triangle into triangles of equal area. Lines and curves that divide figures into equal parts. Regrouping parts of a shape.,Area,4. nodaļa.
3,8,0,DOM_Locus,Punktu ģeometriskā vieta,Locus,"Uzdevumi, kuros jāatrod punktu ģeometrskā vieta vai trajektorija. Atrast punktu kopu plaknē ar noteiktām īpašībām.  Pierādīt, ka dotajā veidā iegūtie punkti ir uz vienas taisnes vai vienas riņķa līnijas. Pierādīt, ka dotās līnijas krustojas vienā punktā. Karno teorēma.",Problems in which you need to find the geometric location or trajectory of points. Find a set of points in the plane with certain properties.   Prove that the points obtained in a certain way all lie on a line or on a circle. Prove that the given lines intersect at one point. Carnot's theorem.,Locus,7. nodaļa.
3,9,0,DOM_MetricRelations,Aprēķini un metriskās attiecības,Computations and Metric Relations,"Uzdevumi, kuros ģeometrisku apgalvojumu pamato ar algebrisku vai trigonometrisku izteiksmi. Uzdevumi, kuros dota sakarība starp ģeometriskiem lielumiem un jāpierāda, ka tā nav atkarīga no punkta vai taisnes izvēles. Uzdevumi, kuros jāpierāda nogriežņu vienādība vai jāaprēķina to attiecība. Uzdevumi, kuros jāaprēķina leņķi vai attālumi. Sinusu teorēma, kosinusu teorēma. Koordinātu izmantošana. Ievilkto, apvilkto un pievilkto riņķa līniju rādiusi. Malu, augstumu, bisektrišu garumi. Trijstūra leņķu sinusi un kosinusi. Trijstūra leņķu tangensi un kotangensi.","Problems where a geometric statement is justified by an algebraic or trigonometric expression. Problems where the relationship between geometric quantities is given and it must be proved that it does not depend on the choice of a point or a line. Proving the equality of the segments or calculating their ratio. Calculation of angles or distances. Sine and cosine rules. The use of coordinates. The radii of incircles, circumcircles and excircles. Lengths of sides, heights, bisectors. Sines and cosines of triangle angles. The tangent and cotangent of a triangle angle.",MetricComputations,12. nodaļa.
3,10,0,DOM_InequalitiesGeometry,Ģeometriskās nevienādības,Geometric Inequalities,"Pierādīt, ka kāds attālums nepārsniedz citu attālumu vai citu ģeometrisku nevienādību.",Prove that some distance does not exceed another distance. Prove a geometric inequality.,GeometricInequalities,9. un 10. nodaļas
3,11,0,DOM_MaxMinGeometry,Maksimumi un minimumi ģeometrijā,Geometric Maxima and Minima,"Uzdevumi, kuros jāatrod punkti, no kuriem attālumi vai attālumu summas veido maksimālo jeb lielāko vai minimālo jeb mazāko kādas izteiksmes vērtību. Uzdevumi, kuros jāatrod lielākais iespējamais leņķis. Uzdevumi, kuros jāatrod minimālais vai maksimālais laukums.Uzdevumi, kuros jāatrod punkta vai taisnes stāvoklis, pie kura tiek iegūts minimālais vai maksimālais laukums.",Problems where you find points from which distances or sums of distances or any other expressions reach the maximum or the minimum. Problems to find the largest possible angle. Problems about the largest and the smallest area. Problems to locate a line or a point to get the largest or the smallest area.,MaxMinProblems,11. nodaļa
3,12,0,DOM_Vectors,Vektori,Vectors,"Ģeometrijas uzdevumi, kuru formulējumā ir vektori",Geometry problems involving vectors.,Vectors,13. nodaļa
3,13,0,DOM_GeometricTransforms,Ģeometriskās transformācijas,Geometric Transformations,"Paralēlā pārnese, centrālā simetrija, aksiālā simetrija. Simetrijas kompozīcijas. Simetrijas un simetrijas asu īpašības. Pagriezieni un pagriezienu kompozīcijas. Homotētija, homotētiju kompozīcijas un pagrieziena homotētija. Inversija. Afīnie pārveidojumi, projektīvās transformācijas.","Translation, central symmetry, axial symmetry. Compositions of symmetries. Properties of symmetries and the axes of symmetry. Rotations and their compositions. Homothety, homothety compositions and rotational homothety. Inversion. Affine transformations, projective transformations.",GeometricTransformations,"15., 16., 17., 18., 19., 28., 29., 30. nodaļas. Te saprotu, ka lielākā daļa šo nodaļu uzdevumu tiks iešķirota citur, jo ģeometriskās transformācijas te strādā kā risinājuma metode. Tomēr nodaļu pavisam likvidēt nevar, lai neizrādītos, ka ir uzdevumi, kuriem nav kur paikt."
3,14,0,DOM_ObjectSystemsGeometry,Ģeometrisku objektu sistēmas,Systems of Geometric Objects,"Punktu, nogriežņu un citu ģeometrisku objektu sistēmas. Doti n punkti, jāpierāda kādas to īpašības. Jānoskaidro, vai kaut kas ir iespējams.","Systems of points, segments and other geometric objects. Given n points, prove some property. Find out if some arrangement is possible.",SystemsGeometricObjects,"26.  un 27. nodaļas. Norādīti arī citu nodaļu uzdevumi, kas uz šo attiecas. Diezgan daudz no 22. nodaļas."
3,15,0,DOM_CuttingCoversColoring,"Griezumi, pārklājumi, krāsojumi","Cutting, Covering, Painting Shapes","Uzdevumi, kuros jāsagriež daudzstūri speciāla veida daļās un tad no tām jāsaliek prasītā figūra. Uzdevumi, kuros jāpierāda, ka nevar sagriezt daudzstūri prasītā veida daļās. Uzdevumi, kuros jāpēta sagriežot iegūto daļu īpašības. Uzdevumi, kuros jānoskaidro, vai ir iespējams sagriezt daudzstūri prasītā veida daļās. Daļas var būt trijstūri, paralelogrami, rombi, trapeces. Jāsaliek var būt taisnstūris, cits daudzstūris. Uzdevumi, kuros jāpārklāj ģeometriska figūra ar citām. Te var būt nogriežņi, trijstūri, daudzstūri, riņķi. Uzdevumi par daudzstūru novietojumu plaknē tā lai tie nepārklājas. Uzdevumi par daudzstūru sagiešans rezultātā iegūto daļu  krāsošanu un par plaknes krāsojumu īpašībām.","Problems to cut polygons into special shapes and reassemble them as some other shape. Problems proving that certain cutting tasks on polygins are impossible. Problems to study the properties of the parts obtained by cutting. Problems to find, if one can cut a polygon into parts of the required type such as triangles, parallelograms, rhombi, trapezoids. Problems mey require to assemble another polygon. Problems to cover some shape with other shapes such as segments, triangles, polygons, circles. Problems to arrange polygons on a plane without overlaps. Problems on coloring the parts obtained as a result of cutting or any other properties of plane coloring.",CuttingCoversColoring,25. nodaļa. Tai atšķiras angļu un krievu versijas! Daļa no 23. nodaļas.
3,16,0,DOM_IntegerLattices,Veselu skaitļu režģi,Integer Grids,"Uzdevumi, kuros lietotas rūtiņu režģa virsotnes vai pieminētas veselas koordinātas, kur plakne vai telpa sadalīta daudzos regulāros trijstūrīšos, kvadrātiņos, sešstūrīšos, vienības kubiņos.","Problems using the vertices of an ""integer grid"" - having both integer coordinates. Other problems on a plane subdivided into infinitely many identical regular triangles, squares or hexagons.",IntegerLattices,24. nodaļa. Daļa no 23. nodaļas.
3,16,1,DOM_GridCut,Sagriešana rūtiņu figūrās,Cutting on a Grid,"Griešanas uzdevumi, kur griešanas vai figūru saskaršanās ir pa rūtiņu līnijām. Kvadrātisku rūtiņu vietā var būt arī cits regulārs režģis.",Problems of cutting shapes on a grid paper.,SquareGridCutting,
3,16,2,DOM_GridColoring,Rūtiņu režģu krāsošana,Colouring Grids,"Uzdevumi, kuros jāiekrāso dažas rūtiņas laukumā, lai tajā kaut ko varētu vai nevarētu novietot. Kvadrātisku rūtiņu vietā var būt arī cits regulārs režģis.",Problems where some cells of a board must be coloured so that something can or cannot be placed on it. The square grid may be replaced by another regular lattice.,ColoringProblems; SquareGrid,
3,16,3,DOM_GridReorder,Rūtiņu figūru pārkārtošana,Rearranging Grid Figures,Rūtiņu uzdevumi par ģeometriskiem pārveidojumiem vai rūtiņu gabalu pārkārtošanu. Kvadrātisku rūtiņu vietā var būt arī cits regulārs režģis.,Grid problems about geometric transformations or rearranging grid pieces. The square grid may be replaced by another regular lattice.,SquareGridShapes; SquareGridCutting,
3,16,4,DOM_GridOther,Citi uzdevumi par režģiem,Other Lattice Problems,"Režģi, kas nesastāv no kvadrātiņiem; telpiski režģi. Spēles ar griešanu vai zīmēšanu pa rūtiņu līnijām.",Lattices not composed of squares; spatial lattices. Games with cutting or drawing along grid lines.,IntegerLattices,
3,17,0,DOM_SolidGeometry,Stereometrija,Solid Geometry,"Uzdevumi, kuru formulējumā ir telpiskas figūras — daudzskaldņi, cilindri, konusi, lodes, taisnes un plaknes telpā, šķēlumi, tilpumi un virsmas.","Problems whose statement involves spatial figures — polyhedra, cylinders, cones, spheres, lines and planes in space, sections, volumes and surface areas.",SolidGeometry,Jauna rinda (2026).
4,0,0,NT,Skaitļu teorija,Number theory,Visi skaitļu teorijas uzdevumi,All problems on number theory,NumTheory,
4,1,0,DOM_Divisibility,Skaitļu dalāmība,Divisibility,"Uzdevumi par dalāmības attiecību, saliktu skaitļu un pirmskaitļu pazīšana. Skaitļa visu dalītāju kopa.","Problems on divisibility relation, distinction of composite and prime numbers. Problems on GCD and LCM; the lattice of all divisors of a fixed number. The expressions for the count and the sum of all divisors for a given number.",Divisibility,"BBK2012, 1.nodaļa"
4,1,1,DOM_Gcd_Lcm,LKD un MKD,GCD and LCM,Uzdevumi par LKD un MKD.,Problems about GCD and LCM,GcdAndLcm,
4,2,0,DOM_PrimeFactors,Pirmskaitļi un pirmreizinātāji,Prime Factors,"Pirmskaitļu īpašības. Aritmētikas pamatteorēma par dalījumu pirmreizinātājos. Uzdevumi, kas pārbauda dalāmību ar visu pirmreizinātāju pakāpēm.",Fundamental theorem of arithmetic - prime factors of a number. Checking divisibility through dividing with all the prime powers. Valuation as the highest prime power that divides the given number.,IntegerFactorization; Primes,"BBK2012, 2.nodaļa"
4,2,1,DOM_PerfectPower,Pilnas pakāpes,Perfect Powers,"Uzdevumi, kur jānosaka vai jāpierāda par vesela skaitļa kvadrātiem, kubiem vai augstākām pakāpēm",Problems to search or establish integers that can be expressed as a square or a higher integer power of some integer number.,PrimeFactorizationAndPowers; NumTheoryInequalitySmallIntervals,
4,2,2,DOM_Valuation,Valuācijas,Valuations,"Valuācija jeb augstākā pirmskaitļa pakāpe, ar ko dotais skaitlis dalās.",Problems about the higher power of a prime that divides the given number,Valuation,
