Problem,Property,Value,Text
LV.AMO.2013.5.3,bookmark,438,Atskats: Citi iespējamie risinājumi.
LV.AMO.2013.5.3,bookmark,488,Atskats: Maģiskais kvadrāts.
,,,
LV.AMO.2013.5.4,title,"40.AMO, 5.klases 4.uzdevums",
LV.AMO.2013.5.4,youtube,aPtiwtx9Jkg,
LV.AMO.2013.5.4,topic,trial-and-error,
LV.AMO.2013.5.4,bookmark,21,"Uzdevuma saprašana: Tetromino, t.sk. spēle ""tetris"". Pentomino. Pentomino ""L"" figūra un tās spoguļattēls."
LV.AMO.2013.5.4,bookmark,57,"Uzdevuma saprašana: Teselācijas jeb flīzēšanas uzdevumi – salikt laukumu ar noteikta veida figūriņām bez tukšumiem un pārklāšanās. (Kopīga mala ir saskaršanās, nevis pārklāšanās.)"
LV.AMO.2013.5.4,bookmark,85,Uzdevuma saprašana: Kas ir pagriešana un apgriešana otrādi.
LV.AMO.2013.5.4,bookmark,144,"Risinājums: Taisnstūris ar laukumu 40 rūtiņas izsakāms 4 veidos, no kuriem 2 veidi acīmredzot neder. Metode: Dalīšana reizinātājos. Izslēgšanas metode."
LV.AMO.2013.5.4,bookmark,236,"Risinājums: Cik var būt ""L"" figūriņu? No 1 līdz 7. Metode: Izmantojam nosacījumus."
LV.AMO.2013.5.4,bookmark,267,"Risinājums: ""L"" figūriņu nevar būt 1,3,5,7. Nevar būt arī 2 vai 6. Metode: Pāru un nepāru skaitļi. Dalāmība ar 4."
LV.AMO.2013.5.4,bookmark,318,"Risinājums: Atlikušās 20 rūtiņas jāaizpilda ar 5 ""T"" figūriņām. Metode: Ģeometrijas jautājuma izteikšana aritmētiski."
LV.AMO.2013.5.4,bookmark,330,"Risinājums: Aplūkojam kā 2 ""L"" figūriņas var saskarties un kā aizpildīt atlikušo taisnstūri. Metode: Heiristika (sākt aizpildīt ar lielākajām figūrām). mēģinājumu un kļūdu metode."
LV.AMO.2013.5.4,bookmark,400,Atskats: Konstrukcijas uzdevumiem pats piemērs kalpo par pierādījumu.
LV.AMO.2013.5.4,bookmark,452,"Atskats: Nebija prasīts vai var salikt taisnstūri 4x10. Nebija prasīts, vai šāds salikums ir viens vienīgs."
LV.AMO.2013.5.4,note,"Ja ir atrasts konkrētais taisnstūra 5x8 aizpildījums ar abu veidu figūriņām, cik dažādus aizpildījumus no tā var izveidot ar spoguļattēliem vai arī pagriežot figūriņas vai pašu taisnstūri par 90 vai 180 grādiem?",
,,,
LV.AMO.2013.5.5,title,"40.AMO, 5.klases 5.uzdevums",
LV.AMO.2013.5.5,youtube,YQAQ3e3cfqo,
LV.AMO.2013.5.5,topic,pigeonhole-principle,
LV.AMO.2013.5.5,bookmark,24,"Uzdevuma saprašana: Kas ir kubs? Kuba skaldnes, šķautnes, virsotnes."
LV.AMO.2013.5.5,bookmark,110,Uzdevuma saprašana: Kā katru skaldni sadalīt 4 kvadrātos. Cik pavisam daļu?
LV.AMO.2013.5.5,bookmark,149,Uzdevuma saprašana: Kāda ir krāsošana 3 krāsās (nav vajadzīgas krāsas - var apzīmēt ar burtiem); un kādi kvadrāti ir ar kopīgu malu?
LV.AMO.2013.5.5,bookmark,225,"Risinājums: Pamatojums, ka ar divām krāsām nepietiek. Metode: Dirihlē princips."
LV.AMO.2013.5.5,bookmark,340,Risinājums: Ērtāka kuba krāsošanas diagramma. Metode: Nepārtraukts pārveidojums (Telpiskas figūras attēlojums plaknē).
LV.AMO.2013.5.5,bookmark,495,Risinājums: Izveidojam krāsojumu. Piemērs: Piemēra konstruēšana.
LV.AMO.2013.5.5,bookmark,644,"Atskats: Ko nozīmē ""Atbildi pamatot!""? Konstrukcijas uzdevumos ir vai nu jāpiedāvā konstrukcija vai jāpamato, ka to nav iespējams veikt (t.i. neviens un nekad nespēs to izdarīt ar 2 krāsām – nevis tikai ""mēs mēģinājām un mums nesanāca"")."
LV.AMO.2013.5.5,bookmark,735,"Atskats: Ir pazīstama t.s. ""četru krāsu problēma"" – ka ikvienas kartes izkrāsošanai pietiek ar 4 krāsām (vienalga kādu izmēru gabaliņiem). Šoreiz karte ir īpatnēja – un tādēļ nav pārsteidzoši, ka pietiek ar mazāku krāsu skaitu."
LV.AMO.2013.5.5,bookmark,820,Atskats: Atrisinājumā jāmin (a) neiespējamība; (b) konstruēts piemērs.
LV.AMO.2013.5.5,note,Laukumiņu izkrāsošanas uzdevumus var izteikt arī grafiem.,
LV.AMO.2013.5.5,note,Jebkuru izliektu daudzskaldni ar attiecīgu pastiepšanu var padarīt par plaknes figūru.,
LV.AMO.2013.5.5,note,"Karte uz kuba, karte uz lodes un karte plaknē – visos gadījumos krāsošanas uzdevums ir viens un tas pats.",
,,,
LV.AMO.2013.6.1,title,"40.AMO, 6.klases 1.uzdevums",
LV.AMO.2013.6.1,youtube,VAqkROCPuKk,
LV.AMO.2013.6.1,topic,commutativity-associativity,
LV.AMO.2013.6.1,bookmark,33,"Uzdevuma saprašana: ""Jebkurus divus"" skaitļus var izvēlēties ļoti daudzos veidos. Būtu liktenīga kļūda aplūkot tikai vienu vai divus piemērus."
LV.AMO.2013.6.1,bookmark,86,"Uzdevuma saprašana: Nav pateikts, kur ieraksta jauno skaitli, bet secība šeit nav svarīga."
LV.AMO.2013.6.1,bookmark,119,Uzdevuma saprašana: Neatkarīgi no darbību secības tieši pēc 9 gājieniem viss būs beidzies.
LV.AMO.2013.6.1,bookmark,154,"Risinājums: Kas notiktu, ja nodzēšto skaitļu vietā rakstītu vienkārši ""a+b"". Metode: Pāreja uz vienkāršāku uzdevumu."
LV.AMO.2013.6.1,bookmark,228,Risinājums: Kā ātri saskaitīt 1+2+...+N. Metode: Saskaitīšana ar pārgrupēšanu.
LV.AMO.2013.6.1,bookmark,315,"Risinājums: Visu uzrakstīto skaitļu summa mainās, bet mainās prognozējami - pieaug par 2 pēc katras dzēšanas. Metode: Invariantu izmantošana."
LV.AMO.2013.6.1,bookmark,335,Risinājums: Pēc 9 soļiem būs visu skaitļu summa plus 18. Atrodam visu skaitļu summu un pieskaitām 18. Metode: Saskaitīšanas pārtapšana par reizināšanu.
LV.AMO.2013.6.1,bookmark,370,Atskats: Var pārbaudīt 1-2 gadījumiem.
LV.AMO.2013.6.1,bookmark,438,"Atskats: Sekas no operācijas (a,b)-> a+b+2 komutativitātes un asociativitātes. (Komutativitāte nodrošina to, ka nav svarīga secība, kā izvēlas a un b. Asociativitāte nodrošina to, ka nav svarīgi, kā zīmē koku.)"
,,,
LV.AMO.2013.6.2,title,"40.AMO, 6.klases 2.uzdevums",
LV.AMO.2013.6.2,youtube,OSqW4Go6wDU,
LV.AMO.2013.6.2,topic,divisibility-rule,
LV.AMO.2013.6.2,bookmark,21,"Uzdevuma saprašana: Naturālo skaitļu virkne – bezgalīga. Skaitļu secība tanī jau noteikta – skaitlis seko otram, ja viens ir n, otrs ir n+1."
LV.AMO.2013.6.2,bookmark,88,Uzdevuma saprašana: Cipari – domāts decimālpieraksts. Ciparu summa/reizinājums nepieder pie pierastajām aritmētiskajām darbībām.
LV.AMO.2013.6.2,bookmark,126,Risinājums: Cipari – domāts decimālpieraksts. Ciparu summa/reizinājums nepieder pie pierastajām aritmētiskajām darbībām. Metode: Likumsakarību saskatīšana un vispārināšana.
LV.AMO.2013.6.2,bookmark,209,"Risinājums: Ciparu summas izmaiņas (par +1, -8, -17, -26, utt.). Nekad nav par +3 vai -3. Metode: Diferenču noteikšana."
LV.AMO.2013.6.2,bookmark,349,"Risinājums: Teorēma: Dalāmības pazīme ar 3. Ko nozīmē ""tad un tikai tad""."
LV.AMO.2013.6.2,bookmark,398,Risinājums: Dalāmības pazīme ar 3 un iespējamās ciparu summas izmaiņas. Metode: Dalāmības pazīme ar 3.
LV.AMO.2013.6.2,bookmark,467,Risinājums: Ciparu reizinājuma izmaiņas. Metode: Diferenču noteikšana.
LV.AMO.2013.6.2,bookmark,553,Atskats: Secinājumi; kādā veidā pierakstīt atbildi.
LV.AMO.2013.6.2,note,"Kādēļ vajadzīga prasība, lai viens no blakusesošajiem skaitļiem dalītos ar 3?",
,,,
LV.AMO.2013.6.3,title,"40.AMO, 6.klases 3.uzdevums",
LV.AMO.2013.6.3,youtube,-aJm0RGdE10,
LV.AMO.2013.6.3,topic,trial-and-error,
LV.AMO.2013.6.3,bookmark,15,Uzdevuma saprašana: Figūras robežas neiet pa rūtiņu līnijām.
LV.AMO.2013.6.3,bookmark,46,Uzdevuma saprašana: Ko nozīmē pagriezt un apgriezt otrādi.
LV.AMO.2013.6.3,bookmark,111,Risinājums: Laukuma aprēķins. Metode: Ģeometrijas jautājuma pārvēršana par aritmētisku.
LV.AMO.2013.6.3,bookmark,163,"Risinājums: Iespējamās figūriņu formas. Metode: Vienkāršākie pieņēmumi, kuri varētu novest pie atrisinājuma (Make things as simple as possible, but not simpler.)"
LV.AMO.2013.6.3,bookmark,194,Risinājums: Kādās figūriņās griezīsim. Metode: Mēģinājumu un kļūdu metode.
LV.AMO.2013.6.3,bookmark,218,Risinājums: Sagriešanas paraugs. Metode: Piemēra konstruēšana.
LV.AMO.2013.6.3,bookmark,256,Risinājums: Atlikušās figūras aizpildīšana ar pagriezieniem. Metode: Simetrijas izmantošana.
,,,
LV.AMO.2013.6.4,title,"40.AMO, 6.klases 4.uzdevums",
LV.AMO.2013.6.4,youtube,4Dj_iLs917Y,
LV.AMO.2013.6.4,topic,perfect-square,
LV.AMO.2013.6.4,bookmark,13,"Uzdevuma saprašana: Naturāli skaitļi (nav negatīvi, 0 un nav daļskaitļi)."
LV.AMO.2013.6.4,bookmark,32,Uzdevuma saprašana: Precīza nozīme frāzei „no 100 līdz 200” – atruna par galapunktu ieskaitīšanu.
LV.AMO.2013.6.4,bookmark,78,"Risinājums: Ja divi reizinājumi ir vienādi, tiem jādalās ar vieniem un tiem pašiem skaitļiem. Metode: Secinājumi no vienādības."
LV.AMO.2013.6.4,bookmark,114,Risinājums: Pirmskaitļu jēdziens un skaidrojums. Definīcija: Pirmskaitļi.
LV.AMO.2013.6.4,bookmark,139,Risinājums: Vienādi skaitļi dalās ar pirmskaitļiem to pašu skaitu reižu. Metode: Skaitļa viennozīmīgs dalījums pirmreizinātājos.
LV.AMO.2013.6.4,bookmark,150,"Risinājums: Piemēŗs ar pirmskaitli 101. Metode: Pretpiemēra uzminēšana, lai apgāztu pieņēmumu (ka abi reizinājumi ir vienādi)."
LV.AMO.2013.6.4,bookmark,213,"Atskats: Ar uzdevumu nesaistīts piemērs (1,2,3,4,5,6,8,9,10), kuru VAR sadalīt divās grupās."
LV.AMO.2013.6.4,bookmark,263,"Atskats: Analīze, dalot pirmreizinātājos."
LV.AMO.2013.6.4,bookmark,288,Atskats: Pielietota teorēma par viennozīmīgu sadalīšanu pirmreizinātājos.
LV.AMO.2013.6.4,bookmark,340,"Atskats: Virknīti (1,2,3,4,5,6,8,9,10) izsakām kā pirmskaitļu reizinājumu."
LV.AMO.2013.6.4,bookmark,448,Atskats: Kādēļ virknītei nevar pievienot skaitli 7.
LV.AMO.2013.6.4,bookmark,500,Atskats: Kā noformēt uzdevumu olimpiādē.
LV.AMO.2013.6.4,note,"Skaitļi, kurus var sadalīt šādās divās grupās, reizinājumā noteikti veido pilnu kvadrātu (naturāla skaitļa reizinājumu pašam ar sevi).",
LV.AMO.2013.6.4,note,"Līdzīgu analīzi var veikt ne tikai ar 101, bet arī ar daudziem citiem pirmskaitļiem. Piemēram, pirmskaitlis 19 ir sastopams skaitļos 114, 133, 152, 171, 190 (t.i. pavisam piecas reizes). Skaidrs, ka nevarēs sadalīt divās grupās – t.sk. arī dalīšanās ar 19 dēļ.",
,,,
