SourceID,Property,Value
eliozo:SRC_AOPS_INTL,sourceNameLv,Art of Problem Solving: Starptautiski konkursi
eliozo:SRC_AOPS_INTL,sourceDescriptionEn,"A forum on IMO, Baltic Way, EGMO problems and solutions"
eliozo:SRC_AOPS_INTL,sourceDescriptionLt,"Forumas apie IMO, Baltijos kelio ir EGMO uždavinius ir sprendimus"
eliozo:SRC_AOPS_INTL,sourceDescriptionLv,"Forums ar IMO, Baltijas ceļa, EGMO uzdevumiem un risinājumiem"
eliozo:SRC_AOPS_NAT,url,https://artofproblemsolving.com/community/c16_national_and_regional_contests
eliozo:SRC_AOPS_NAT,label,AoPS_National
eliozo:SRC_AOPS_NAT,sourceNameEn,Art of Problem Solving: National Contests
eliozo:SRC_AOPS_NAT,sourceNameLt,Art of Problem Solving: Nacionalinės varžybos
eliozo:SRC_AOPS_NAT,sourceNameLv,Art of Problem Solving: Nacionālās sacensības
eliozo:SRC_AOPS_NAT,sourceDescriptionEn,A forum on national mathematical contests
eliozo:SRC_AOPS_NAT,sourceDescriptionLt,Forumas apie nacionalinius matematikos konkursus
eliozo:SRC_AOPS_NAT,sourceDescriptionLv,Forums ar nacionālajām matemātikas sacensībām
eliozo:SRC_EGMO,url,https://www.egmo.org/
eliozo:SRC_EGMO,label,WW_EGMO
eliozo:SRC_EGMO,sourceNameEn,European Girls' Mathematical Olympiad (EGMO)
eliozo:SRC_EGMO,sourceNameLt,Europos mergaičių matematikos olimpiada (EGMO)
eliozo:SRC_EGMO,sourceNameLv,Eiropas meiteņu matemātikas olimpiāde (EGMO)
eliozo:SRC_EGMO,sourceDescriptionEn,"Official website of the European Girls’ Mathematical Olympiad (EGMO), an international mathematics competition for high‑school girls"
eliozo:SRC_EGMO,sourceDescriptionLt,Europos merginų matematikos olimpiados (EGMO) oficiali svetainė – tarptautinės matematikos varžybos moksleivėms
eliozo:SRC_EGMO,sourceDescriptionLv,Eiropas Meiteņu matemātikas olimpiādes (EGMO) oficiālā vietne — starptautiskas matemātikas sacensības vidusskolniecēm
eliozo:SRC_BW_COMPETITION,url,https://www.math.olympiaadid.ut.ee/eng/html/?id=bw
eliozo:SRC_BW_COMPETITION,label,WW_Baltic_Way
eliozo:SRC_BW_COMPETITION,sourceNameEn,Regional Contest: Baltic Way
eliozo:SRC_BW_COMPETITION,sourceNameLt,Regioninės varžybos: Baltijos kelias
eliozo:SRC_BW_COMPETITION,sourceNameLv,Reģionālas sacensības: Baltic Way
eliozo:SRC_BW_COMPETITION,sourceDescriptionEn,"The archive of problems and results for the team olympiad ""Baltic Way"""
eliozo:SRC_BW_COMPETITION,sourceDescriptionLt,"Komandinės olimpiados ""Baltijos kelias"" uždavinių ir rezultatų archyvas"
eliozo:SRC_BW_COMPETITION,sourceDescriptionLv,"Komandu olimpiādes ""Baltijas ceļš"" uzdevumu un rezutlātu arhīvs"
eliozo:SRC_ORG_IMO_OFFICIAL,url,https://www.imo-official.org/problems.aspx
eliozo:SRC_ORG_IMO_OFFICIAL,label,WW_IMO
eliozo:SRC_ORG_IMO_OFFICIAL,sourceNameEn,International Mathematical Olympiad
eliozo:SRC_ORG_IMO_OFFICIAL,sourceNameLt,Tarptautinė matematikos olimpiada
eliozo:SRC_ORG_IMO_OFFICIAL,sourceNameLv,Starptautiskā matemātikas olimpiāde
eliozo:SRC_ORG_IMO_OFFICIAL,sourceDescriptionEn,The problems and supplementary materials (shortlists) of IMO
eliozo:SRC_ORG_IMO_OFFICIAL,sourceDescriptionLt,Tarptautinės matematikos olimpiados (IMO) uždaviniai ir papildomoji medžiaga (shortlists)
eliozo:SRC_ORG_IMO_OFFICIAL,sourceDescriptionLv,Starptautiskās olimpiādes uzdevumi un žūrijas materiāli (shortlists)
