OlympiadID,Property,Value
eliozo:LT.LJMO,olympiadNameLt,Lietuvos jaunesniųjų klasių matematikos olimpiada
eliozo:LT.LJMO,olympiadNameLv,Lietuvas jaunāko klašu matemātikas olimpiāde
eliozo:LT.LKMMO,olympiadCountry,LT
eliozo:LT.LKMMO,olympiadCode,LKMMO
eliozo:LT.LKMMO,olympiadDescriptionEn,Lithuanian School Team Mathematical Olympiad to Win J.Kubilius Cup (Lietuvos komandinė mokinių matematikos olimpiada prof. Jono Kubiliaus taurei laimėti)
eliozo:LT.LKMMO,olympiadDescriptionLt,Lietuvos komandinė mokinių matematikos olimpiada prof. Jono Kubiliaus taurei laimėti
eliozo:LT.LKMMO,olympiadDescriptionLv,Lietuvas skolēnu komandu matemātikas olimpiāde par J.Kubiļus kausu (Lietuvos komandinė mokinių matematikos olimpiada prof. Jono Kubiliaus taurei laimėti)
eliozo:LT.LKMMO,olympiadNameEn,Lithuanian School Team Mathematical Olympiad
eliozo:LT.LKMMO,olympiadNameLt,Lietuvos komandinė mokinių matematikos olimpiada
eliozo:LT.LKMMO,olympiadNameLv,Lietuvas skolēnu komandu matemātikas olimpiāde
eliozo:LT.LMMO,olympiadCountry,LT
eliozo:LT.LMMO,olympiadCode,LMMO
eliozo:LT.LMMO,olympiadDescriptionEn,Lithuanian School Mathematical Olympiad (Lietuvos mokinių matematikos olimpiada)
eliozo:LT.LMMO,olympiadDescriptionLt,Lietuvos mokinių matematikos olimpiada
eliozo:LT.LMMO,olympiadDescriptionLv,Lietuvas skolēnu matemātikas olimpiāde (Lietuvos mokinių matematikos olimpiada)
eliozo:LT.LMMO,olympiadNameEn,Lithuanian School Mathematical Olympiad
eliozo:LT.LMMO,olympiadNameLt,Lietuvos mokinių matematikos olimpiada
eliozo:LT.LMMO,olympiadNameLv,Lietuvas skolēnu matemātikas olimpiāde
eliozo:LT.SAV,olympiadCountry,LT
eliozo:LT.SAV,olympiadCode,SAV
eliozo:LT.SAV,olympiadDescriptionEn,"Lithuanian School Mathematical Olympiad, Municipal Round (Lietuvos mokinių matematikos olimpiados savivaldybių etapas)"
eliozo:LT.SAV,olympiadDescriptionLt,Lietuvos mokinių matematikos olimpiados savivaldybių etapas
eliozo:LT.SAV,olympiadDescriptionLv,Lietuvas skolēnu matemātikas olimpiādes pašvaldību kārta (Lietuvos mokinių matematikos olimpiados savivaldybių etapas)
eliozo:LT.SAV,olympiadNameEn,"Lithuanian School Mathematical Olympiad, Municipal Round"
eliozo:LT.SAV,olympiadNameLt,Lietuvos mokinių matematikos olimpiados savivaldybių etapas
eliozo:LT.SAV,olympiadNameLv,Lietuvas skolēnu matemātikas olimpiādes pašvaldību kārta
eliozo:LT.TST,olympiadCountry,LT
eliozo:LT.TST,olympiadCode,TST
eliozo:LT.TST,olympiadDescriptionEn,Lithuanian Team Selection Test (Atrankos į pasaulinę (IMO) ir Vidurio Europos (MEMO) olimpiadas)
eliozo:LT.TST,olympiadDescriptionLt,Lietuvos atrankos į pasaulinę (IMO) ir Vidurio Europos (MEMO) olimpiadas
eliozo:LT.TST,olympiadDescriptionLv,Lietuvas atlases sacensības (Atrankos į pasaulinę (IMO) ir Vidurio Europos (MEMO) olimpiadas)
eliozo:LT.TST,olympiadNameEn,Lithuanian Team Selection Test
eliozo:LT.TST,olympiadNameLt,Lietuvos atrankos į IMO ir MEMO olimpiadas
eliozo:LT.TST,olympiadNameLv,Lietuvas atlases sacensības
eliozo:LT.VUMIF,olympiadCountry,LT
eliozo:LT.VUMIF,olympiadCode,VUMIF
eliozo:LT.VUMIF,olympiadDescriptionEn,Mathematical Olympiad of Vilnius University Mathematics and Informatics Department (Vilniaus Universiteto Matematikos ir Informatikos Fakulteto matematikos olimpiada)
eliozo:LT.VUMIF,olympiadDescriptionLt,Vilniaus Universiteto Matematikos ir Informatikos Fakulteto matematikos olimpiada
eliozo:LT.VUMIF,olympiadDescriptionLv,Viļņas Universitātes Matemātikas un informātikas fakultātes matemātikas olimpiāde (Vilniaus Universiteto Matematikos ir Informatikos Fakulteto matematikos olimpiada)
eliozo:LT.VUMIF,olympiadNameEn,Mathematical Olympiad of Vilnius University MIF
eliozo:LT.VUMIF,olympiadNameLt,Vilniaus Universiteto MIF matematikos olimpiada
eliozo:LT.VUMIF,olympiadNameLv,Viļņas Universitātes MIF matemātikas olimpiāde
eliozo:LV.AMO,olympiadCountry,LV
eliozo:LV.AMO,olympiadCode,AMO
eliozo:LV.AMO,olympiadDescriptionEn,Latvian Open Mathematical Olympiad (Atklātā matemātikas olimpiāde)
eliozo:LV.AMO,olympiadDescriptionLt,Latvijos atviroji matematikos olimpiada (Atklātā matemātikas olimpiāde)
eliozo:LV.AMO,olympiadDescriptionLv,Atklātā matemātikas olimpiāde
eliozo:LV.AMO,olympiadNameEn,Latvian Open Mathematical Olympiad
eliozo:LV.AMO,olympiadNameLt,Latvijos atviroji matematikos olimpiada
eliozo:LV.AMO,olympiadNameLv,Latvijas Atklātā matemātikas olimpiāde
eliozo:LV.NOL,olympiadCountry,LV
eliozo:LV.NOL,olympiadCode,NOL
eliozo:LV.NOL,olympiadDescriptionEn,Latvian Municipal Olympiad (Novada olimpiāde)
eliozo:LV.NOL,olympiadDescriptionLt,Latvijos savivaldybių olimpiada (Novada olimpiāde)
eliozo:LV.NOL,olympiadDescriptionLv,Novada olimpiāde (Latvijas matemātikas olimpiādes 2. posms)
eliozo:LV.NOL,olympiadNameEn,Latvian Municipal Olympiad
eliozo:LV.NOL,olympiadNameLt,Latvijos savivaldybių olimpiada
eliozo:LV.NOL,olympiadNameLv,Novada olimpiāde
eliozo:LV.SOL,olympiadCountry,LV
eliozo:LV.SOL,olympiadCode,SOL
eliozo:LV.SOL,olympiadDescriptionEn,Latvian Preliminary Olympiad (Sagatavošanās olimpiāde)
eliozo:LV.SOL,olympiadDescriptionLt,Latvijos pasiruošimo olimpiada (Sagatavošanās olimpiāde)
eliozo:LV.SOL,olympiadDescriptionLv,Latvijas sagatavošanās olimpiāde (Valsts matemātikas olimpiādes 1. posms)
eliozo:LV.SOL,olympiadNameEn,Latvian Preliminary Olympiad
eliozo:LV.SOL,olympiadNameLt,Latvijos pasiruošimo olimpiada
eliozo:LV.SOL,olympiadNameLv,Latvijas sagatavošanās olimpiāde
eliozo:LV.TST,olympiadCountry,LV
eliozo:LV.TST,olympiadCode,TST
eliozo:LV.TST,olympiadDescriptionEn,Latvian Team Selection Test (Papildsacensības par vietu izlasē)
eliozo:LV.TST,olympiadDescriptionLt,Latvijos atrankos varžybos (Papildsacensības par vietu izlasē)
eliozo:LV.TST,olympiadDescriptionLv,Papildsacensības par vietu izlasē
eliozo:LV.TST,olympiadNameEn,Latvian Team Selection Test
eliozo:LV.TST,olympiadNameLt,Latvijos atrankos varžybos
eliozo:LV.TST,olympiadNameLv,Latvijas papildsacensības par vietu izlasē
eliozo:LV.VOL,olympiadCountry,LV
eliozo:LV.VOL,olympiadCode,VOL
eliozo:LV.VOL,olympiadDescriptionEn,Latvian State Olympiad (Valsts olimpiāde)
eliozo:LV.VOL,olympiadDescriptionLt,Latvijos valstybinė olimpiada (Valsts olimpiāde)
eliozo:LV.VOL,olympiadDescriptionLv,Latvijas valsts olimpiāde (Latvijas matemātikas olimpiādes 3. posms)
eliozo:LV.VOL,olympiadNameEn,Latvian State Olympiad
eliozo:LV.VOL,olympiadNameLt,Latvijos valstybinė olimpiada
eliozo:LV.VOL,olympiadNameLv,Latvijas valsts olimpiāde
